Product Name,Category,SKU,Internal Reference,List Price,Cost Price,Description
Banner Pack - Vinyl Series,Banners,LIPM-BAN-001,LIPM-BAN-001,89.99,45.00,Professional vinyl banners for outdoor and indoor use with vibrant colors
Banner Pack - Mesh Series,Banners,LIPM-BAN-002,LIPM-BAN-002,99.99,50.00,Heavy-duty mesh banners perfect for windy outdoor environments
Banner Pack - Fabric Series,Banners,LIPM-BAN-003,LIPM-BAN-003,109.99,55.00,Premium fabric banners with soft finish for elegant displays
Stand - Retractable,Display Stands,LIPM-STD-001,LIPM-STD-001,49.99,25.00,Portable retractable stand ideal for trade shows and events
Stand - Step & Repeat,Display Stands,LIPM-STD-002,LIPM-STD-002,59.99,30.00,Professional step and repeat banner stand for brand displays
Stand - Tabletop,Display Stands,LIPM-STD-003,LIPM-STD-003,39.99,20.00,Compact tabletop stand for small spaces and displays
Sign - Aluminum,Signage,LIPM-SGN-001,LIPM-SGN-001,79.99,40.00,Durable aluminum signs with weather-resistant coating
Sign - LED Neon,Signage,LIPM-SGN-002,LIPM-SGN-002,129.99,65.00,Eye-catching LED neon signs for storefronts and restaurants
Sign - Yard Sign,Signage,LIPM-SGN-003,LIPM-SGN-003,44.99,22.00,Affordable yard signs for real estate and business promotions
Decal - Window Vinyl,Vinyl Decals,LIPM-DCL-001,LIPM-DCL-001,24.99,12.00,Custom window vinyl decals with professional finish
Decal - Wall Vinyl,Vinyl Decals,LIPM-DCL-002,LIPM-DCL-002,29.99,15.00,Premium wall vinyl decals that stick to any smooth surface
Decal - General,Vinyl Decals,LIPM-DCL-003,LIPM-DCL-003,19.99,10.00,Versatile general purpose vinyl decals for branding
Flag - Feather,Flags,LIPM-FLG-001,LIPM-FLG-001,34.99,17.50,Classic feather flags for business and event marketing
Flag - Teardrop,Flags,LIPM-FLG-002,LIPM-FLG-002,39.99,20.00,Attention-grabbing teardrop flags with curved design
Flag - General,Flags,LIPM-FLG-003,LIPM-FLG-003,29.99,15.00,Standard flag options for versatile use
Table Cover - Fitted,Table Covers,LIPM-TBL-001,LIPM-TBL-001,49.99,25.00,Professional fitted table covers for trade shows and events
Table Cover - Stretch,Table Covers,LIPM-TBL-002,LIPM-TBL-002,59.99,30.00,Premium stretch table covers with custom branding options
Table Cover - General,Table Covers,LIPM-TBL-003,LIPM-TBL-003,44.99,22.00,Durable general purpose table covers for any event
